"label","l","p","s","defined","selected","visible","locked","description"
"resampledCurve1-309",19.1113,-177.312,62.2771,1,1,1,0,""
"resampledCurve1-310",19.1371,-177.29,62.2798,1,1,1,0,""
"resampledCurve1-311",19.1629,-177.268,62.2826,1,1,1,0,""
"resampledCurve1-312",19.1888,-177.246,62.2854,1,1,1,0,""
"resampledCurve1-313",19.2146,-177.224,62.2881,1,1,1,0,""
"resampledCurve1-314",19.2404,-177.203,62.2909,1,1,1,0,""
"resampledCurve1-315",19.2662,-177.181,62.2937,1,1,1,0,""
"resampledCurve1-316",19.292,-177.159,62.2964,1,1,1,0,""
"resampledCurve1-317",19.3178,-177.137,62.2992,1,1,1,0,""
"resampledCurve1-318",19.3437,-177.115,62.302,1,1,1,0,""
"resampledCurve1-319",19.3695,-177.093,62.3047,1,1,1,0,""
"resampledCurve1-320",19.3953,-177.071,62.3075,1,1,1,0,""
"resampledCurve1-321",19.4211,-177.049,62.3103,1,1,1,0,""
"resampledCurve1-322",19.4469,-177.027,62.313,1,1,1,0,""
"resampledCurve1-323",19.4727,-177.006,62.3158,1,1,1,0,""
"resampledCurve1-324",19.4986,-176.984,62.3186,1,1,1,0,""
"resampledCurve1-325",19.5244,-176.962,62.3213,1,1,1,0,""
"resampledCurve1-326",19.5502,-176.94,62.3241,1,1,1,0,""
"resampledCurve1-327",19.576,-176.918,62.3269,1,1,1,0,""
"resampledCurve1-328",19.6018,-176.896,62.3296,1,1,1,0,""
"resampledCurve1-329",19.6264,-176.873,62.3319,1,1,1,0,""
"resampledCurve1-330",19.6485,-176.847,62.3331,1,1,1,0,""
"resampledCurve1-331",19.6706,-176.821,62.3344,1,1,1,0,""
"resampledCurve1-332",19.6926,-176.796,62.3356,1,1,1,0,""
"resampledCurve1-333",19.7147,-176.77,62.3368,1,1,1,0,""
"resampledCurve1-334",19.7368,-176.744,62.338,1,1,1,0,""
"resampledCurve1-335",19.7589,-176.718,62.3393,1,1,1,0,""
"resampledCurve1-336",19.781,-176.693,62.3405,1,1,1,0,""
"resampledCurve1-337",19.803,-176.667,62.3417,1,1,1,0,""
"resampledCurve1-338",19.8251,-176.641,62.343,1,1,1,0,""
"resampledCurve1-339",19.8472,-176.615,62.3442,1,1,1,0,""
"resampledCurve1-340",19.8693,-176.59,62.3454,1,1,1,0,""
"resampledCurve1-341",19.8913,-176.564,62.3467,1,1,1,0,""
"resampledCurve1-342",19.9134,-176.538,62.3479,1,1,1,0,""
"resampledCurve1-343",19.9355,-176.512,62.3491,1,1,1,0,""
"resampledCurve1-344",19.9576,-176.486,62.3503,1,1,1,0,""
"resampledCurve1-345",19.9796,-176.461,62.3516,1,1,1,0,""
"resampledCurve1-346",20.0017,-176.435,62.3528,1,1,1,0,""
"resampledCurve1-347",20.0238,-176.409,62.354,1,1,1,0,""
"resampledCurve1-348",20.0459,-176.383,62.3553,1,1,1,0,""
"resampledCurve1-349",20.0679,-176.358,62.3565,1,1,1,0,""
"resampledCurve1-350",20.09,-176.332,62.3577,1,1,1,0,""
